"大分類","中分類_目","小分類_科","和名","学名","分布・備考","ページ状態","ページ種別"
"両生類","無尾目","アカガエル科","トノサマガエル","Pelophylax nigromaculatus","日本の水田環境の代表種","未着手","個別ページ"
"両生類","無尾目","アカガエル科","ニホンアカガエル","Rana japonica","日本固有種","未着手","個別ページ"
"両生類","無尾目","アカガエル科","ツチガエル","Glandirana rugosa","日本各地に分布","未着手","個別ページ"
"両生類","無尾目","アオガエル科","モリアオガエル","Zhangixalus arboreus","日本固有種。樹上に泡状の卵塊を産む","未着手","個別ページ"
"両生類","無尾目","アオガエル科","シュレーゲルアオガエル","Zhangixalus schlegelii","日本固有種","未着手","個別ページ"
"両生類","無尾目","アマガエル科","ニホンアマガエル","Dryophytes japonicus","最も身近なカエルの一つ","未着手","個別ページ"
"両生類","無尾目","ヒキガエル科","ニホンヒキガエル","Bufo japonicus","本州・四国・九州に分布","未着手","個別ページ"
"両生類","無尾目","ヤドクガエル科","モウドクフキヤガエル","Phyllobates terribilis","中南米原産・展示種として人気","未着手","個別ページ"
"両生類","無尾目","ヤドクガエル科","キオビヤドクガエル","Dendrobates leucomelas","中南米原産・展示種として人気","未着手","個別ページ"
"両生類","無尾目","ツノガエル科","クランウェルツノガエル","Ceratophrys cranwelli","南米原産・展示種として人気","未着手","個別ページ"
"両生類","有尾目","オオサンショウウオ科","オオサンショウウオ","Andrias japonicus","日本固有・特別天然記念物・世界最大級の両生類","未着手","個別ページ"
"両生類","有尾目","オオサンショウウオ科","チュウゴクオオサンショウウオ","Andrias davidianus","外来種。在来種との交雑が問題化","未着手","個別ページ"
"両生類","有尾目","サンショウウオ科","（科として集約）日本産48種","Hynobiidae ほか","2022年時点で3属48種（うち47種が固有種）。今も新種記載が続く","作成済み（科ページ）","科ページ"
"両生類","有尾目","サンショウウオ科","トウキョウサンショウウオ","Hynobius tokyoensis","関東地方。環境省RL：VU。代表種として個別ページ化","作成済み","個別ページ（代表種）"
"両生類","有尾目","サンショウウオ科","エゾサンショウウオ","Hynobius retardatus","北海道。代表種として個別ページ化予定","未着手","個別ページ（代表種）"
"両生類","有尾目","サンショウウオ科","アベサンショウウオ","Hynobius abei","京都府・福井県の一部。環境省RL：CR。代表種として個別ページ化予定","未着手","個別ページ（代表種）"
"両生類","有尾目","イモリ科","アカハライモリ","Cynops pyrrhogaster","日本固有種。強い毒（テトロドトキシン）を持つ","未着手","個別ページ"
"両生類","有尾目","トラフサンショウウオ科","ウーパールーパー（メキシコサンショウウオ）","Ambystoma mexicanum","メキシコ原産・野生絶滅危惧。幼形成熟（ネオテニー）で有名","未着手","個別ページ"
